# Matter power spectrum P(k) at redshift z=0
# for k=1.02701e-05 to 1.02274 h/Mpc,
# number of wavenumbers equal to 643
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.788251531055e-02       2.478126860064e+04 
       1.799513066021e-02       2.475013091691e+04 
       1.810781432704e-02       2.471803922503e+04 
       1.822056759836e-02       2.468493145438e+04 
       1.833339179390e-02       2.465074448480e+04 
       1.844628826646e-02       2.461561579606e+04 
       1.855925840265e-02       2.457951820069e+04 
       1.867230362362e-02       2.454246790930e+04 
       1.878542538583e-02       2.450445122099e+04 
       1.889862518184e-02       2.446553037562e+04 
       1.901190454110e-02       2.442569898213e+04 
       1.912526503081e-02       2.438500672733e+04 
       1.923870825680e-02       2.434345491418e+04 
       1.935223586440e-02       2.430099578827e+04 
       1.946584953936e-02       2.425772517512e+04 
       1.957955100882e-02       2.421360215565e+04 
       1.969334204229e-02       2.416862489700e+04 
       1.980722445268e-02       2.412290104582e+04 
       1.992120009729e-02       2.407637292382e+04 
       2.003527087896e-02       2.402905202786e+04 
       2.014943874714e-02       2.398103564779e+04 
       2.026370569907e-02       2.393221426898e+04 
       2.037807378096e-02       2.388270376835e+04 
       2.049254508918e-02       2.383242714111e+04 
       2.060712177159e-02       2.378146892400e+04 
       2.072180602881e-02       2.372982975571e+04 
       2.083660011556e-02       2.367751246202e+04 
       2.095150634210e-02       2.362458439323e+04 
       2.106652707560e-02       2.357093864894e+04 
       2.118166474169e-02       2.351663671783e+04 
       2.129692182599e-02       2.346179814632e+04 
       2.141230087565e-02       2.340632002922e+04 
       2.152780450104e-02       2.335026135622e+04 
       2.164343537742e-02       2.329352123909e+04 
       2.175919624669e-02       2.323633224059e+04 
       2.187508991922e-02       2.317850579802e+04 
       2.199111927572e-02       2.312022823044e+04 
       2.210728726915e-02       2.306134761745e+04 
       2.222359692675e-02       2.300191629010e+04 
       2.234005135211e-02       2.294205033236e+04 
       2.245665372729e-02       2.288162004364e+04 
       2.257340731509e-02       2.282073912101e+04 
       2.269031546129e-02       2.275933362948e+04 
       2.280738159705e-02       2.269756509025e+04 
       2.292460924140e-02       2.263529005527e+04 
       2.304200200375e-02       2.257257426605e+04 
       2.315956358655e-02       2.250943961263e+04 
       2.327729778803e-02       2.244586840667e+04 
       2.339520850504e-02       2.238190297158e+04 
       2.351329973601e-02       2.231752649454e+04 
       2.363157558394e-02       2.225278318575e+04 
       2.375004025964e-02       2.218766656513e+04 
       2.386869808499e-02       2.212217708316e+04 
       2.398755349631e-02       2.205629858043e+04 
       2.410661104795e-02       2.199010299496e+04 
       2.422587541594e-02       2.192358198502e+04 
       2.434535140181e-02       2.185669871855e+04 
       2.446504393655e-02       2.178951770785e+04 
       2.458495808473e-02       2.172201260846e+04 
