# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   54       2.228435737431e-10       3.189676636771e-14      -3.158335966096e-13       1.149833040249e-16       4.360835752901e-11       4.884945297557e-12      -1.141393671988e-14 
   55       2.262272881674e-10       3.368169364990e-14      -3.691971125144e-13       1.192605713432e-16       4.184797249087e-11       4.707647330483e-12      -1.163020529777e-14 
   56       2.296377876001e-10       3.551701058597e-14      -4.249120866322e-13       1.236143423989e-16       4.017826957333e-11       4.539729801536e-12      -1.192138837733e-14 
   57       2.330798597725e-10       3.740189288637e-14      -4.829764999751e-13       1.280444471599e-16       3.859828487483e-11       4.381020401065e-12      -1.226012536486e-14 
   58       2.365576918468e-10       3.933540455790e-14      -5.433867125137e-13       1.325507123601e-16       3.710438187155e-11       4.231058057651e-12      -1.261434446669e-14 
   59       2.400748071156e-10       4.131649551718e-14      -6.061375377625e-13       1.371329617294e-16       3.569008650217e-11       4.089075282862e-12      -1.294704629316e-14 
   60       2.436340017018e-10       4.334399920408e-14      -6.712223173648e-13       1.417910162239e-16       3.434592225251e-11       3.953980516009e-12      -1.321608746245e-14 
   61       2.472374026862e-10       4.541658990537e-14      -7.386278115571e-13       1.465246966620e-16       3.306203464157e-11       3.824654193296e-12      -1.338407158533e-14 
   62       2.508868009375e-10       4.753264893104e-14      -8.083173616229e-13       1.513338318028e-16       3.183712615650e-11       3.700954554130e-12      -1.345110612766e-14 
   63       2.545832810024e-10       4.969036402813e-14      -8.802440632238e-13       1.562182524981e-16       3.067124334172e-11       3.582907296733e-12      -1.342904764023e-14 
   64       2.583270480010e-10       5.188776342761e-14      -9.543555288993e-13       1.611777897463e-16       2.956308947418e-11       3.470404227129e-12      -1.333214542556e-14 
   65       2.621173681794e-10       5.412271217947e-14      -1.030593798164e-12       1.662122749992e-16       2.850994815365e-11       3.363195558129e-12      -1.317714584133e-14 
   66       2.659525094627e-10       5.639290848782e-14      -1.108895247604e-12       1.713215404689e-16       2.750760689300e-11       3.260882208329e-12      -1.298339660388e-14 
   67       2.698296820078e-10       5.869588004595e-14      -1.189190500974e-12       1.765054194335e-16       2.655028070850e-11       3.162908101104e-12      -1.277295109165e-14 
   68       2.737461170446e-10       6.102913681128e-14      -1.271409011240e-12       1.817637718094e-16       2.563215278292e-11       3.068714122162e-12      -1.256614305046e-14 
   69       2.777026901295e-10       6.339067346925e-14      -1.355494085784e-12       1.870965661965e-16       2.475252976179e-11       2.978253431518e-12      -1.236703631448e-14 
   70       2.817009286384e-10       6.577856266586e-14      -1.441390758184e-12       1.925038150843e-16       2.391159858976e-11       2.891567212628e-12      -1.217520064480e-14 
   71       2.857419086450e-10       6.819080790616e-14      -1.529041414700e-12       1.979855519936e-16       2.310886743946e-11       2.808628749909e-12      -1.198996912990e-14 
   72       2.898262245860e-10       7.062534389045e-14      -1.618385823856e-12       2.035418324288e-16       2.234313065918e-11       2.729339862225e-12      -1.181042664266e-14 
   73       2.939539589261e-10       7.308003685031e-14      -1.709361166026e-12       2.091727348312e-16       2.161243372052e-11       2.653527336371e-12      -1.163539829729e-14 
   74       2.981246518230e-10       7.555268488478e-14      -1.801902063017e-12       2.148783615308e-16       2.091403816602e-11       2.580939360556e-12      -1.146343790630e-14 
   75       3.023372707921e-10       7.804101829642e-14      -1.895940607651e-12       2.206588397001e-16       2.024438655683e-11       2.511241957887e-12      -1.129281643747e-14 
   76       3.065907158679e-10       8.054265845781e-14      -1.991405402677e-12       2.265143397405e-16       1.959998295602e-11       2.444102176577e-12      -1.112202513880e-14 
   77       3.108855084918e-10       8.305498500837e-14      -2.088218409752e-12       2.324451322112e-16       1.898029722759e-11       2.379463058177e-12      -1.095141635054e-14 
   78       3.152223569189e-10       8.557524493833e-14      -2.186297576936e-12       2.384515430606e-16       1.838532912793e-11       2.317312564443e-12      -1.078184232193e-14 
